id,message,label,sentiment,reactions_all.summary.total_count,sad.summary.total_count,like.summary.total_count,love.summary.total_count,angry.summary.total_count,haha.summary.total_count,wow.summary.total_count,created_time,permalink_url,parent_post_id,ด่า,คำถาม,สาขา,inbox,ย้ายค่าย
1859481460746890_1864455020249534,ตอนนี้กรุงง ระบบอินเตอเน็ตบ้าน ห่าไปหยอดเงินที่ตู้ก้อไม่ได้ ต้องไปรอคิวจ่ายบิล จะทำตู้ไว้ทำไมวะ ไม่ยกเลิกอินเตอเน็ตสะละ แมร่ง จ่ายตู้2นาที รอจ่ายเบอบ้านอีก20นาที ถุย,,,0,0,0,0,0,0,0,2017-10-05T11:47:22+0000,https://www.facebook.com/TrueMoveH/posts/1859481460746890?comment_id=1864455020249534,204234332938286_1859481460746890,0,0,0,0,0
1859481460746890_1864399656921737,สัญญานเริ่มกากขึ้นทุกวัน!!!,,,0,0,0,0,0,0,0,2017-10-05T10:25:54+0000,https://www.facebook.com/TrueMoveH/posts/1859481460746890?comment_id=1864399656921737,204234332938286_1859481460746890,0,0,0,0,0
1859481460746890_1864266740268362,ไมสมัครเน็ต 6mไม่อั้นแล้วได้6kเองอะครับกากจิงๆ,,,0,0,0,0,0,0,0,2017-10-05T07:19:06+0000,https://www.facebook.com/TrueMoveH/posts/1859481460746890?comment_id=1864266740268362,204234332938286_1859481460746890,0,0,0,0,0
1859481460746890_1864220386939664,"#ขอสอบถามค่ะ
เมื่อสักครู่ ทางทรูมูฟโทมาบอกว่า เป็นผู้โชคดี 1ใน3000คน จะส่งของขวัญมาให้ อยากทราบว่าเปนอะไรเหรอค่ะ",,,0,0,0,0,0,0,0,2017-10-05T05:56:00+0000,https://www.facebook.com/TrueMoveH/posts/1859481460746890?comment_id=1864220386939664,204234332938286_1859481460746890,0,0,0,0,0
1859481460746890_1864141240280912,อยู่ๆมีเบอร์นี้42-477-78 ส่งsmsเข้ามาครับ ยังไม่ได้ทำอะไรเลยครับ แก้ยังไงได้บ้างแล้วจะเสียเงินมั้ย เพราะมันแจ้งว่าเสียเงินทุกวัน,,,0,0,0,0,0,0,0,2017-10-05T03:48:22+0000,https://www.facebook.com/TrueMoveH/posts/1859481460746890?comment_id=1864141240280912,204234332938286_1859481460746890,0,0,0,0,0
1859481460746890_1864130036948699,ทำไมเน็ตแย่จังเล่นเกมอยู่ดีๆเน็ตก็ปิงเดินไม่ไป ทำไมเน็ตเป็นแบบนี้ ไม่ได้เล่นในพื้นที่ชนบทนะครับ,,,0,0,0,0,0,0,0,2017-10-05T03:28:10+0000,https://www.facebook.com/TrueMoveH/posts/1859481460746890?comment_id=1864130036948699,204234332938286_1859481460746890,0,1,0,0,0
1859481460746890_1863943720300664,"เออ..ทำไมไม่เปิดโพสต์รูป..จะส่งผลสปีดเทสให้ดูสักหน่อย..นี่คือแพคเก็จ เน็ต 6mbps ไม่ลดสปีดแต่หาความเสถียรไม่เจอ...ทั้ง 1,4,6 mbps .กลับไปใช่เติมเงินหรือย้ายค่ายซะดีมั่ยนิเหนื่อยตาม",,,0,0,0,0,0,0,0,2017-10-04T22:36:15+0000,https://www.facebook.com/TrueMoveH/posts/1859481460746890?comment_id=1863943720300664,204234332938286_1859481460746890,0,0,0,0,0
1859481460746890_1863841796977523,สัญญาณช้า เนตกากเดน ทำให้สัญญาณช้าลง เพื่อทีี่จะหลอกขายโปรเสริม ชั่วนะ,,,0,0,0,0,0,0,0,2017-10-04T19:52:14+0000,https://www.facebook.com/TrueMoveH/posts/1859481460746890?comment_id=1863841796977523,204234332938286_1859481460746890,0,0,0,0,0
1859481460746890_1863451437016559,คือไรอะเปิดซิมปีกว่า เติมเงินไปเป็น1000 บอกว่าเปิดไม่ถึง60วัน คือไรคับ บอกทีโหลๆ,,,0,0,0,0,0,0,0,2017-10-04T12:03:36+0000,https://www.facebook.com/TrueMoveH/posts/1859481460746890?comment_id=1863451437016559,204234332938286_1859481460746890,0,0,0,0,0
1859481460746890_1863502680344768,ไม่คิดจะแก้ปัญหาไปแจ้งมาสองที่แล้วก็ไม่เกิดอะไรคิดไม่ว่าจะสาขาฟอร์จูนสาขาเซ็นทรัลพระรามเก้าขนาดโทรศัพท์มาเสนอโปรเราก็อุตส่าห์รับฟังแต่ก็บอกว่ามันมีปัญหาจนข้ามปีก็แล้วชนปีก็แล้วไม่คิดจะทำอะไรเลยจ่ายเงินครบนะตรงทุกงวดไม่เคยค้างแต่ดูแลลูกค้าไม่ดีเลยหรือคิดว่าจ่ายแค่320.-บาทเลยไม่ใส่ใจ(เรื่องsmsแจ้งเตือนวันเกิดค้างแล้วก็ค้างชนปีแล้วด้วยแก้ไขหน่อยเถอะ),,,0,0,0,0,0,0,0,2017-10-04T13:08:50+0000,https://www.facebook.com/TrueMoveH/posts/1859481460746890?comment_id=1863502680344768,204234332938286_1859481460746890,0,0,0,0,0
1859481460746890_1863297727031930,ต่อสัญญาณไวไฟไม่ได้เลยตั้งแต่เช้า หงุดหงิด นานไปไหม,,,0,0,0,0,0,0,0,2017-10-04T08:17:41+0000,https://www.facebook.com/TrueMoveH/posts/1859481460746890?comment_id=1863297727031930,204234332938286_1859481460746890,0,0,0,0,0
1859481460746890_1863139433714426,LINE Credit เติมเงินซื้อติ๊กเกอร์ไลน์ ของทรู หายไปไหน ซื้อบัตรเงินสดทรูมันนี่มา แล้วเติมไม่ได้หมายความว่าไง?????????,,,0,0,0,0,0,0,0,2017-10-04T03:32:43+0000,https://www.facebook.com/TrueMoveH/posts/1859481460746890?comment_id=1863139433714426,204234332938286_1859481460746890,0,0,0,0,0
1859481460746890_1863104200384616,เห้ย!!ยกเลิกซิมไปแล้วแถมซิมไม่ได้ใส่เครื่องมามากกว่า2เดือน แล้วทำไมมีค่าใช้บริการส่งมา หมายความว่าไง แล้วไอ้ที่บอกระบบคำนวนยังไม่แล้วเสร็จคืออะไร ยอดมา600กว่าบาท ถ้าไม่เคลียกูไม่จ่าย,,,0,0,0,0,0,0,0,2017-10-04T02:32:11+0000,https://www.facebook.com/TrueMoveH/posts/1859481460746890?comment_id=1863104200384616,204234332938286_1859481460746890,0,0,0,0,0
